 OBJECTID, Station Identifier, Station Name, Fuel Type Provided, Street Address, City Name, State Name, Postal Zipcode, Postal Route (US Addresses), Location Directions, Country Name, Phone Number, Station Status, Estimated Fuel Availability, Station Accessability, Access Restrictions, Access Days and Times, Accepted Payment Methods, Type of Ownership, Name of Owner, Blends of Biodiesel, Can Blend Ethanol, Ethanol Blends Available, CNG Dispenser Count, CNG Dispensing Capability, CNG Pressures Available (PSI), CNG Renewable Source, CNG Total Compression (CFM), CNG Total Storage (CF), CNG Max Vehicle Size, LNG Renewable Source, LNG Max Vehicle Size, LPG Nozzle Types Available, LPG Primary Station, Renewable Diesel Blends Available, Is Renewable Diesel Blended w/Biodiesel, Max Level of Biodiesel Blending, EV Level 1 EVSE Ports, EV Level 2 EVSE Ports, EV DC Fast Ports, EV Other EVSE Ports, EV Connector Types, EV Network Name, EV Network ID, EV Network Link, EV Pricing, EV Renewable Source, HY Is Retail, HY Pressures (BAR), HY Standards, HY Status Link, Station Coordinate Accuracy, Station Latitude (DD), Station Longitude (DD), Date Fuel Available, Date Details Confirmed, Date Details Updated, Location Facility Type, Indications d'emplacement (French), Jours et heures d'accès (French), Mélanges de biodiesel (French), Mélanges de diesel renouvelables disponibles (French), Tarification des VÉ (French), Has Access Restrictions,x,y
21869,151949,TA Petro - Tesla Supercharger,Electric,10506 West Aero Road,Spokane,WA,99224,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,8,,Tesla,Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,47.591,-117.56193,12/19/2019 12:00:00 AM,7/1/2024 12:00:00 AM,5/6/2025 9:07:47 PM,Shopping Center,,,,,,,-13086934.1843,6039079.5411
21925,152095,Emerson Apartments,Electric,11010 NE 124th Lane,Kirkland,WA,98034,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,Blink,465ba1dd-d734-8158-93cc-330000478747,https://blinkcharging.com,Free,,,,,,GPS,47.711826,-122.194719,1/4/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:15:16 AM,,,,,,,False,-13602653.8967,6059046.1518
21983,152273,VASHON TWAY THRIFTWAY #1,Electric,9740 SW Bank Rd,Vashon,WA,98070,,To the right of main entrance.,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2060831,https://www.chargepoint.com,,,,,,,GPS,47.448013,-122.45897,1/8/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:39:25 AM,,,,,,,False,-13632070.1835,6015510.2667
21992,152309,Kimberley Aquatic Centre Parking Lot,Electric,520 Archibald Street,Kimberley,BC,V1A 1E4,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,FLO,7d31c3c3-bbd4-40c5-aa3a-3fedb2eefa00,https://www.flo.com,,,,,,,GPS,49.674467,-115.977188,1/8/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:28:36 AM,,,Accessible 24 heures par jour,,,,False,-12910521.5118,6390088.9675
22010,152374,Highland Village Apartments,Electric,14526 NE 7th Place,Bellevue,WA,98007,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,Blink,465ba1dd-d734-8158-93cc-330000465653,https://blinkcharging.com,Free,,,,,,GPS,47.616737,-122.146188,1/11/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:33:52 AM,,,,,,,False,-13597251.4505,6043328.7351
22028,152418,SECHELT CITY HALL FC,Electric,5797 Cowrie St,Sechelt,BC,V0N 3A0,,Near library main entrance,Canada,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,CACPIL2062941,https://www.chargepoint.com,,,,,,,GPS,49.471997,-123.762762,1/14/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:30:39 AM,,,Accessible 24 heures par jour,,,,False,-13777207.645,6355332.2228
22044,152454,Forks Community Hospital,Electric,390 Founders Way,Forks,WA,98331,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004113,https://blinkcharging.com,$1.50/Hr Parking Fee,,,,,,GPS,47.946567294707,-124.39440425424,11/7/2019 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:42:45 AM,,,,,,,False,-13847521.7391,6097970.1357
22093,152629,Lep Re Kon Harvest Foods - Tesla Supercharger,Electric,2709 West Broadway Avenue,Moses Lake,WA,98837,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,12,,"CCS, Tesla",Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,47.103514,-119.310208,1/20/2020 12:00:00 AM,7/1/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Shopping Center,,,,,,,-13281551.601,5958986.5896
22155,152996,Port of Seattle - Shilshole Bay Marina North Lot,Electric,"7001 Seaview Ave, NW #100",Seattle,WA,98117,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,4,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004136,https://blinkcharging.com,$1.25-$3.50/Hr Variable Parking Fee,,,,,,GPS,47.68080494,-122.4048611,4/3/2019 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:42:47 AM,,,,,,,False,-13626046.8083,6053915.4824
22172,153061,EVERETT YMCA EVERETT YMCA #3,Electric,4730 Colby Ave,Everett,WA,98203,,Parking area,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2005421,https://www.chargepoint.com,,,,,,,GPS,47.954737,-122.208024,1/25/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:37:38 AM,,,,,,,False,-13604135.0025,6099327.9851
22206,153128,City of Delta - North Delta Arts Centre,Electric,11425 84 Ave.,Delta,BC,V4C 2L9,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,46de0e1f-40dd-42aa-a5de-c9caf2a7268e,https://www.flo.com,,,,,,,GPS,49.156396,-122.905463,1/29/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:29:03 AM,,,Accessible 24 heures par jour,,,,False,-13681773.5569,6301440.3078
22207,153129,FortisBC - Kaslo – Kemball Memorial Centre,Electric,312 4th St,Kaslo,BC,V0G 1M0,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,1,,"CHAdeMO, CCS",FLO,80c3668e-56c1-492d-861d-6afe1ef2f634,https://www.flo.com,,,,,,,GPS,49.910938,-116.903466,1/29/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:30:01 AM,,,Accessible 24 heures par jour,,,,False,-13013634.3071,6430866.1341
22235,153208,Via Rail Canada Inc. - Vancouver,Electric,1150 Station Street,Vancouver,BC,V6A 2X7,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,FLO,c7f6b34f-45d9-4695-b2ce-92cbb6e781f6,https://www.flo.com,,,,,,,GPS,49.274278,-123.098444,1/31/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:30:12 AM,,,Accessible 24 heures par jour,,,,False,-13703256.1035,6321529.4263
22243,153224,META_REDMOND 60 ACRES,Electric,11601 Willows Rd NE,Redmond,WA,98052,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2086161,https://www.chargepoint.com,,,,,,,GPS,47.704831,-122.154418,2/1/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:40:28 AM,,,,,,,False,-13598167.6099,6057888.9605
22344,153456,Birch Bay Square - Tesla Supercharger,Electric,8115 Birch Bay Square,Blaine,WA,98230,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,14,,Tesla,Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,48.937845,-122.667679,1/31/2020 12:00:00 AM,7/1/2024 12:00:00 AM,5/6/2025 9:07:47 PM,,,,,,,,-13655303.5631,6264321.564
22353,153493,Northern Wasco County People's Utility District,Electric,2345 River Rd,The Dalles,OR,97058,,,United States,541-296-2226,Available,,Public,,24 hours daily,,Utility Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,Free,,,,,,Point,45.615814,-121.198541,9/19/2019 12:00:00 AM,4/6/2023 12:00:00 AM,10/28/2025 1:59:26 PM,Utility,,,,,,False,-13491759.869,5718995.4464
22397,153586,CAPITAL GATEWAY STATION 7,Electric,505 14th Ave SE,Olympia,WA,98501,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,ChargePoint,USCPIL2102611,https://www.chargepoint.com,,,,,,,GPS,47.035837,-122.894963,2/11/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:09 AM,,,,,,,False,-13680604.7022,5947925.546
22409,153621,BC Hydro - Williams Lake - City Hall,Electric,450 Mart St.,Williams Lake,BC,V2G 1N3,,,Canada,866-338-3369,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,2,,"CHAdeMO, CCS",BC Hydro,b1eec11c-77d2-4781-b6c2-9542826438cc,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,,,,,,,GPS,52.1292,-122.14,1/30/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 5:00:12 AM,,,Accessible 24 heures par jour,,,,False,-13596562.6055,6823520.2689
22411,153625,BC Hydro - Hixon - Tempo Gas Bar,Electric,39126 HWY 97 S,Hixon,BC,V0K 1S0,,,Canada,866-338-3369,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,2,,"CHAdeMO, CCS",BC Hydro,9a36168c-2762-4bf1-b429-2536ad1cd1bc,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,,,,,,,GPS,53.4197,-122.585,1/1/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 5:00:09 AM,,,Accessible 24 heures par jour,,,,False,-13646099.7789,7061011.5551
22412,153626,BC Hydro - Delta - South Delta Recreation Centre,Electric,1720 56 street,Delta,BC,V4L 2B1,,,Canada,866-338-3369,Temporarily Unavailable,1/13/2026 12:00:00 AM,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,4,,"CHAdeMO, CCS",BC Hydro,625ecb7c-1202-4a4d-aca7-2257c15c14a4,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,,,,,,,GPS,49.0356,-123.068,11/1/2019 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 5:00:19 AM,,,Accessible 24 heures par jour,,,,False,-13699867.0929,6280904.1294
22465,153841,Hwy 3A  Kootenay Bay Rest Area,Electric,BC-3A,KOOTENAY BAY FERRY LANDING,BC,V0B 2B0,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,a3b0090f-827e-4d0c-be93-7457c63fac70,https://www.flo.com,,,,,,,GPS,49.675305,-116.872428,2/20/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:28:45 AM,,,Accessible 24 heures par jour,,,,False,-13010179.1727,6390233.1218
22466,153844,Australian Rest Area,Electric,Windt Road,Quesnel,BC,V2J 6L6,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,FLO,1407d76b-088b-4bba-b808-609d9fbb1255,https://www.flo.com,,,,,,,GPS,52.710687,-122.456997,2/20/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:31:12 AM,,,Accessible 24 heures par jour,,,,False,-13631850.5501,6929661.122
22496,153891,SFU STATION 1,Electric,13419 103 Ave,Surrey,BC,V3T 1R7,,,Canada,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,CACPIL1782801,https://www.chargepoint.com,,,,,,,GPS,49.189138,-122.850602,2/22/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:30:17 AM,,,Accessible 24 heures par jour,,,,False,-13675666.4583,6307015.3041
22497,153892,SFU STATION 2,Electric,13409 102a Ave,Surrey,BC,V3T 1P8,,,Canada,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,CACPIL1782701,https://www.chargepoint.com,,,,,,,GPS,49.189098,-122.850664,2/22/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:30:17 AM,,,Accessible 24 heures par jour,,,,False,-13675673.3601,6307008.491
22507,153928,Hampton Inn and Suites,Electric,1531 Kelly Place,Walla Walla,WA,99362,,,United States,888-998-2546,Temporarily Unavailable,11/8/2025 12:00:00 AM,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004276,https://blinkcharging.com,FREE,,,,,,GPS,46.0459904,-118.3568298,7/22/2019 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:44:21 AM,,,,,,,False,-13175422.0252,5787722.2796
22531,154020,BOISE STATE BRONCO CIRCLE,Electric,1402 Bronco Ln,Boise,ID,83706,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL164681,https://www.chargepoint.com,,,,,,,GPS,43.601863,-116.200223,2/27/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:12:08 AM,,,,,,,False,-12935349.6544,5404034.8758
22562,154070,OTEC HARNEY CHAMBER,Electric,484 N Broadway Ave.,Burns,OR,97720,,Off of N. Alvord Ave,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,1,,"CHAdeMO, CCS",ChargePoint,USCPIL2117981,https://www.chargepoint.com,,,,,,,GPS,43.589646,-119.055316,2/27/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:35 AM,,,,,,,False,-13253177.1534,5402157.0145
22563,154071,PACIFIC POWER BEND DCFC 4,Electric,70 NW Newport Ave,Bend,OR,97703,,East parking area of Journey church parking lot,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,1,,"CHAdeMO, CCS",ChargePoint,USCPIL2104581,https://www.chargepoint.com,,,,,,,GPS,44.060949,-121.313346,2/27/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:13 AM,,,,,,,False,-13504539.9031,5474879.0311
22573,154096,BELLEVUE X-ROADS PARK 2,Electric,999 164th Ave NE,Bellevue,WA,98008,,Right-Hand Station,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2110541,https://www.chargepoint.com,,,,,,,GPS,47.618278,-122.122649,2/27/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:21 AM,,,,,,,False,-13594631.101,6043583.2215
22612,154184,PORT OF OLYMPIA EAST,Electric,700 Capitol Way N,Olympia,WA,98501,,In rear of Farmers Market,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2110301,https://www.chargepoint.com,,,,,,,GPS,47.050914,-122.902502,2/29/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:20 AM,,,,,,,False,-13681443.9399,5950388.4963
22616,154190,Kidd Creek Rest Area,Electric,6725 BC-3,Kitchener,BC,V0B 1W1,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,FLO,d0a28c11-ba50-439c-8b05-afc667cee153,https://www.flo.com,,,,,,,GPS,49.162232,-116.265736,2/29/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:29:31 AM,,,Accessible 24 heures par jour,,,,False,-12942642.5282,6302433.7364
22661,154307,CAPITAL GATEWAY STATION 5,Electric,505 14th Ave SE,Olympia,WA,98501,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,ChargePoint,USCPIL2102601,https://www.chargepoint.com,,,,,,,GPS,47.035839,-122.895096,3/5/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:09 AM,,,,,,,False,-13680619.5077,5947925.8726
22664,154312,Fort George Brewery & Public House,Electric,1483 Duane St,Astoria,OR,97103,,,United States,888-998-2546,Temporarily Unavailable,11/20/2025 12:00:00 AM,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,Blink,465ba1dd-d734-8158-93cc-330000478512,https://blinkcharging.com,Free,,,,,,GPS,46.18874,-123.827392,3/6/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:13:51 AM,,,,,,,False,-13784402.2237,5810646.6968
22696,154394,625 Howe Street - 2,Electric,625 Howe St,Vancouver,BC,V6C 2T6,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,5,,,J1772,FLO,7de370e5-5084-45b3-8547-7bba15c8f486,https://www.flo.com,,,,,,,GPS,49.284527,-123.117874,3/10/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:27:41 AM,,,Accessible 24 heures par jour,,,,False,-13705419.0412,6323278.2987
22707,154421,EOLA Hills Winery,Electric,501 S. Pacific Highway 99W,Rickreall,OR,97371,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,3,,,J1772,Blink,465ba1dd-d734-8158-93cc-330000052788,https://blinkcharging.com,Free,,,,,,GPS,44.9262978833,-123.22965135,3/12/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:27:32 AM,,,,,,,False,-13717862.0389,5609926.0494
22733,154491,Vernon Gas Bar,Electric,3530 27 St,Vernon,BC,V1T 9P1,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,f274dcce-47b1-440a-8c5f-7d637132dde0,https://www.flo.com,,,,,,,GPS,50.267712,-119.267196,3/14/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:27:43 AM,,,Accessible 24 heures par jour,,,,False,-13276763.5271,6492768.5788
22747,154546,Nike - Michael Jordan,Electric,1 Bowerman Dr,Beaverton,OR,97005,,,United States,,Available,,Private,,For employee use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,4,,,J1772,Non-Networked,,,,WIND,,,,,GPS,45.505208,-122.82908,12/4/2019 12:00:00 AM,1/10/2023 12:00:00 AM,3/17/2025 3:30:09 PM,Office Building,,,,,,,-13673270.6402,5701409.9133
22748,154547,Nike - Airport,Electric,4223 NE Penny Way,Hillsboro,OR,97124,,,United States,,Available,,Private,,For employee use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,4,,,J1772,Non-Networked,,,,WIND,,,,,GPS,45.540462,-122.941124,8/1/2019 12:00:00 AM,1/10/2023 12:00:00 AM,3/17/2025 3:30:09 PM,Office Building,,,,,,,-13685743.3212,5707011.2804
22750,154549,Nike - LeBron,Electric,1 Bowerman Dr,Beaverton,OR,97005,,SW Walker Rd/SW Meadow Dr,United States,,Available,,Private,,For employee use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,19,,,J1772,Non-Networked,,,,WIND,,,,,GPS,45.513132,-122.830253,5/1/2020 12:00:00 AM,1/10/2023 12:00:00 AM,3/17/2025 3:30:09 PM,Office Building,,,,,,,-13673401.218,5702668.6202
22755,154562,Main Terminal,Electric,3035 Airport Road,Kamloops,BC,V2B 7X1,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,3e324019-9b12-463d-b6ca-515de7e60976,https://www.flo.com,,,,,,,GPS,50.705448,-120.442469,3/19/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:26:20 AM,,,Accessible 24 heures par jour,,,,False,-13407594.319,6569355.347
22776,154610,Village of Salmo - 423 Davies Ave,Electric,423 Davies St.,Salmo,BC,V0G 1Z0,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,FLO,88f19da2-f85d-4d81-93ee-b3c3342b85fa,https://www.flo.com,,,,,,,GPS,49.193332,-117.278734,3/23/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:25:03 AM,,,Accessible 24 heures par jour,,,,False,-13055408.9498,6307729.685
22780,154622,CITYOFVANCOUVER CITY HALL DCFC2,Electric,2710 Yukon St,Vancouver,BC,V5Y 3R1,,City Hall Main Parking lot,Canada,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,1,,"CHAdeMO, CCS",ChargePoint,CACPIL2438381,https://www.chargepoint.com,,,,,,,GPS,49.261093,-123.11318,3/24/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:30:50 AM,,,Accessible 24 heures par jour,,,,False,-13704896.5075,6319280.0941
22809,154712,Powell River - Historical Museum,Electric,4798 Marine Avenue,Powell River,BC,V8A 4Z5,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,e03c7da3-4380-4a04-8641-2314573a11c8,https://www.flo.com,,,,,,,GPS,49.846295,-124.529262,3/25/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:24:45 AM,,,Accessible 24 heures par jour,,,,False,-13862534.0347,6419699.2717
22839,154788,Delta Rise,Electric,11967 80 Avenue,Delta,BC,V4C 0E2,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,e46d62b7-4631-4ffd-86b6-d05a681cf130,https://www.flo.com,,,,,,,GPS,49.149127,-122.892097,3/27/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:29:11 AM,,,Accessible 24 heures par jour,,,,False,-13680285.6606,6300203.1116
22840,154791,Pilot Travel Center - Tesla Supercharger,Electric,2430 93rd Avenue Southwest,Tumwater,WA,98512,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,8,,Tesla,Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,46.952938,-122.935249,3/27/2020 12:00:00 AM,7/1/2024 12:00:00 AM,5/6/2025 9:07:47 PM,Truck Stop,,,,,,,-13685089.3192,5934395.7365
22843,154794,Vancouver Mall - Tesla Supercharger,Electric,8700 NE Vancouver Mall Drive,Vancouver,WA,98662,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,8,,Tesla,Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,45.659583,-122.583536,3/27/2020 12:00:00 AM,7/1/2024 12:00:00 AM,5/6/2025 9:07:47 PM,Shopping Mall,,,,,,,-13645936.8072,5725963.9694
22853,154832,Best Western Plus Peppertree Nampa Civic Center,Electric,205 3rd Street South,Nampa,ID,83651,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004357,https://blinkcharging.com,"$2.00/Hr Parking Fee , $0.20/kWh Energy Fee",,,,,,GPS,43.5838811,-116.5724917,10/14/2016 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:44:29 AM,,,,,,,False,-12976790.4165,5401271.0307
22888,155129,Office Park,Electric,2404 Heritage Court SW,Olympia,WA,98502,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,Blink,465ba1dd-d734-8158-93cc-330000312616,https://blinkcharging.com,Free,,,,,,GPS,47.02759,-122.920589,4/2/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:27:33 AM,,,,,,,False,-13683457.3755,5946578.626
22906,155169,Dew Drop Inn - Tesla Supercharger,Electric,100 Fern Hill Road,Forks,WA,98331,,,United States,877-798-3752,Available,,Public,,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,Privately Owned,,,,,,,,,,,,,,,,,,,,,8,,"CCS, Tesla",Tesla Supercharger,,https://www.tesla.com/supercharger,,,,,,,GPS,47.942921,-124.385236,4/3/2020 12:00:00 AM,7/1/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Inn,,,,,,,-13846501.1337,6097364.1708
22935,155253,The Glades,Electric,457 172nd Street,Surrey,BC,V3S 9R3,,,Canada,888-356-8911,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,FLO,64eee48d-be18-4d8f-a669-2c8e4d7f825a,https://www.flo.com,,,,,,,GPS,49.010455,-122.747399,4/8/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 4:31:02 AM,,,Accessible 24 heures par jour,,,,False,-13664177.9529,6276635.575
22964,155309,"Walmart 5935 - Tigard, OR",Electric,7600 SW Dartmouth St.,Tigard,OR,97223,,,United States,833-632-2778,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,,8,,"CHAdeMO, CCS",Electrify America,100061,https://www.electrifyamerica.com,,,,,,,GPS,45.43267,-122.75368,4/10/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:53:36 AM,,,,,,,False,-13664877.1506,5689895.6641
22973,155325,"BOA 5-119 Kent, WA",Electric,"311 4th. Ave. N. Kent, Washington 98032",Kent,WA,98032,,,United States,833-632-2778,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,1,3,,"J1772, CCS",Electrify America,200208,https://www.electrifyamerica.com,,,,,,,GPS,47.3833,-122.23618,4/11/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 3:51:26 AM,,,,,,,False,-13607269.3141,6004864.356
22975,155333,531611  Amazon Phase VI - Bigness,Electric,515 Westlake Avenue North,Seattle,WA,98109,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,10,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004393,https://blinkcharging.com,FREE,,,,,,GPS,47.6241877,-122.3386584,6/20/2018 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:44:32 AM,,,,,,,False,-13618677.1574,6044559.2405
22976,155334,Bigness,Electric,515 Westlake Avenue North,Seattle,WA,98109,,,United States,888-998-2546,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,9,,,J1772,Blink,d0e864cf-fb2a-3dbf-1307-c00000004394,https://blinkcharging.com,FREE,,,,,,GPS,47.6241877,-122.3386584,4/14/2020 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:44:32 AM,,,,,,,False,-13618677.1574,6044559.2405
